# merged; npoints=32363523859 degenerate=7740416 ambig=0
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,none
283,11407800,1979733,317414,52108,9175,1719,344,76,16,0,0,0,0,0,0,0,0
284,11407959,1980647,317130,51181,8839,1656,340,81,19,0,0,0,0,0,0,0,0
285,11389784,1992265,321354,52570,9236,1724,321,75,18,0,0,0,0,0,0,0,0
286,11393515,1989181,320079,52640,9251,1718,339,80,20,0,0,0,0,0,0,0,0
287,11379907,1997745,323760,53343,9324,1800,344,77,16,2,0,0,0,0,0,0,0
288,11381263,1996967,323047,53198,9183,1726,324,78,15,2,0,0,0,0,0,0,0
289,11390547,1989448,320670,53079,9333,1799,322,76,13,1,0,0,0,0,0,0,0
290,11372494,2002621,324286,53577,9520,1809,337,82,10,1,0,0,0,0,0,0,0
291,11364079,2007176,327189,54042,9520,1758,333,84,18,2,0,0,0,0,0,0,0
292,11360218,2011025,327028,53741,9459,1790,332,77,11,0,0,0,0,0,0,0,0
293,11359165,2009856,328043,54239,9590,1850,342,76,12,0,0,0,0,0,0,0,0
294,11340881,2020562,332697,56137,9957,1912,387,84,14,0,0,0,0,0,0,0,0
295,11334708,2025192,333660,56236,9897,1897,378,79,16,0,0,0,0,0,0,0,0
296,11326004,2031493,335625,56072,9942,1959,377,78,13,0,0,0,0,0,0,0,0
297,11339592,2021515,332259,55386,9853,1905,370,91,19,0,0,0,0,0,0,0,0
298,11329047,2027550,334856,56277,10209,2007,397,97,19,0,0,0,0,0,0,0,0
299,11324456,2030405,335785,56718,10123,1946,394,94,17,0,0,0,0,0,0,0,0
300,11330200,2025108,335008,56525,10061,1960,392,87,16,0,0,0,0,0,0,0,0
301,11321235,2031093,337066,56774,10176,1948,393,90,21,0,0,0,0,0,0,0,0
302,11311100,2038110,339132,57229,10222,1936,409,102,19,1,0,0,0,0,0,0,0
303,11302903,2044261,340303,57469,10297,1945,420,105,17,0,0,0,0,0,0,0,0
304,11308665,2040117,338567,57234,10180,1904,385,92,19,0,0,0,0,0,0,0,0
305,11291267,2050252,343609,58337,10549,2020,430,98,13,0,0,0,0,0,0,0,0
306,11290930,2050770,343523,57942,10381,1941,407,93,17,0,0,0,0,0,0,0,0
307,11301224,2042784,340800,57885,10345,1912,414,84,11,0,0,0,0,0,0,0,0
308,11288961,2050764,343718,58563,10425,1958,427,88,11,0,0,0,0,0,0,0,0
309,11285907,2052864,343908,58500,10569,1997,459,85,15,0,0,0,0,0,0,0,0
310,11268239,2063467,348552,59856,10935,2133,466,81,16,2,0,0,0,0,0,0,0
311,11265680,2065262,348499,60135,10950,2096,467,81,13,1,0,0,0,0,0,0,0
312,11262055,2067258,349587,60027,10893,2182,478,93,17,1,0,0,0,0,0,0,0
313,11259860,2067488,350711,60363,10847,2176,463,89,16,2,0,0,0,0,0,0,0
314,11248714,2073760,353838,61343,11088,2130,472,97,11,1,0,0,0,0,0,0,0
315,11248721,2074992,352649,60755,10986,2147,478,107,15,1,0,0,0,0,0,0,0
316,11235767,2081313,357040,62164,11176,2174,499,103,14,3,2,0,0,0,0,0,0
317,11235811,2082078,356201,61719,11059,2173,503,104,18,0,1,0,0,0,0,0,0
318,11240862,2077412,355246,61752,11006,2186,493,110,19,1,1,0,0,0,0,0,0
319,11224112,2088285,359286,62479,11380,2301,540,112,19,2,2,0,0,0,0,0,0
320,11222882,2089251,359275,62317,11368,2184,480,108,16,2,1,0,0,0,0,0,0
321,11214627,2095802,360403,62393,11233,2225,493,119,20,3,2,0,0,0,0,0,0
322,11216738,2092282,360559,62814,11392,2272,502,113,18,3,1,0,0,0,0,0,0
323,11218947,2089392,360533,62815,11426,2291,523,129,21,2,1,0,0,0,0,0,0
324,11200676,2101944,363967,64155,11725,2361,522,106,18,4,2,0,0,0,0,0,0
325,11204739,2097229,363672,64376,11876,2327,529,119,23,2,1,0,0,0,0,0,0
326,11199063,2101522,364426,64293,11937,2390,527,116,21,5,2,0,0,0,0,0,0
327,11194882,2103752,365438,64676,11881,2370,539,111,21,3,1,0,0,0,0,0,0
328,11182338,2112398,367965,65242,11971,2469,527,109,20,3,1,0,0,0,0,0,0
329,11188656,2107879,366399,64615,11830,2396,514,111,23,4,2,0,0,0,0,0,0
